 1.4  -616.020528  -615.969585  -615.634251  -615.447892
 1.5  -616.110002  -616.045396  -615.721819  -615.514153
 1.6  -616.162499  -616.089867  -615.788707  -615.564395
 1.7  -616.191385  -616.115945  -615.844567  -615.600301
 1.8  -616.205377  -616.130959  -615.893325  -615.623542
 1.9  -616.210140  -616.138891  -615.935832  -615.636050
 2.0  -616.209304  -616.141889  -615.971842  -615.639622
 2.1  -616.205139  -616.141313  -616.001127  -615.636119
 2.2  -616.199019  -616.138207  -616.024060  -615.627311
 2.3  -616.191773  -616.133461  -616.041479  -615.614859
 2.4  -616.183911  -616.127811  -616.054372  -615.600196
 2.5  -616.175763  -616.121833  -616.063651  -615.584458
 2.6  -616.167551  -616.115946  -616.070086  -615.568495
 2.7  -616.159437  -616.110516  -616.074163  -615.553013
 2.8  -616.151533  -616.105882  -616.076118  -615.538743
 2.9  -616.143934  -616.102790  -616.075380  -615.527195
 3.0  -616.136780  -616.104184  -616.067140  -615.524263
 3.1  -616.130874  -616.112179  -616.039164  -615.535998
 3.2  -616.126918  -616.115732  -616.012440  -615.540749
 3.3  -616.123815  -616.116422  -615.994818  -615.538226
 3.4  -616.121457  -616.116395  -615.981844  -615.533334
 3.5  -616.119701  -616.116178  -615.971720  -615.527635
 3.6  -616.118405  -616.115932  -615.963525  -615.521750
 3.7  -616.117452  -616.115708  -615.956703  -615.515962
 3.8  -616.116754  -616.115522  -615.950886  -615.510396
 3.9  -616.116241  -616.115370  -615.945827  -615.505105
 4.0  -616.115864  -616.115249  -615.941331  -615.500114
 4.1  -616.115586  -616.115152  -615.937299  -615.495408
 4.2  -616.115381  -616.115075  -615.933607  -615.490990
 4.3  -616.115227  -616.115013  -615.930202  -615.486836
 4.4  -616.115112  -616.114962  -615.927032  -615.482928
 4.5  -616.115025  -616.114920  -615.924062  -615.479248
 4.6  -616.114958  -616.114885  -615.921262  -615.475775
 4.7  -616.114906  -616.114855  -615.918609  -615.472496
 4.8  -616.114865  -616.114830  -615.916091  -615.469391
 4.9  -616.114832  -616.114809  -615.913692  -615.466448
 5.0  -616.114806  -616.114790  -615.911405  -615.463653
 5.1  -616.114784  -616.114773  -615.909214  -615.460996
 5.2  -616.114766  -616.114759  -615.907115  -615.458465
 5.3  -616.114750  -616.114746  -615.905101  -615.456050
 5.4  -616.114737  -616.114734  -615.903168  -615.453744
 5.5  -616.114726  -616.114724  -615.901304  -615.451541
 5.6  -616.114716  -616.114714  -615.899513  -615.449431
 5.7  -616.114707  -616.114706  -615.897785  -615.447409
 5.8  -616.114699  -616.114698  -615.896120  -615.445470
 5.9  -616.114692  -616.114692  -615.894515  -615.443606
 6.0  -616.114686  -616.114685  -615.892966  -615.441816
 6.1  -616.114680  -616.114680  -615.891470  -615.440092
 6.2  -616.114675  -616.114674  -615.890023  -615.438433
 6.3  -616.114670  -616.114670  -615.888623  -615.436835
 6.4  -616.114665  -616.114665  -615.887267  -615.435294
 6.5  -616.114661  -616.114661  -615.885956  -615.433807
 6.6  -616.114658  -616.114658  -615.884683  -615.432372
 6.7  -616.114655  -616.114654  -615.883451  -615.430984
 6.8  -616.114651  -616.114651  -615.882256  -615.429642
 6.9  -616.114649  -616.114649  -615.881097  -615.428343
 7.0  -616.114646  -616.114646  -615.879969  -615.427088
 7.1  -616.114644  -616.114644  -615.878875  -615.425871
 7.2  -616.114641  -616.114641  -615.877814  -615.424692
 7.3  -616.114639  -616.114639  -615.876781  -615.423548
 7.4  -616.114637  -616.114637  -615.875776  -615.422440
 7.5  -616.114636  -616.114636  -615.874798  -615.421364
 7.6  -616.114634  -616.114634  -615.873849  -615.420318
 7.7  -616.114633  -616.114633  -615.872921  -615.419303
 7.8  -616.114631  -616.114631  -615.872019  -615.418317
 7.9  -616.114630  -616.114630  -615.871141  -615.417357
 8.0  -616.114629  -616.114629  -615.870284  -615.416424
 8.1  -616.114628  -616.114628  -615.869450  -615.415515
 8.2  -616.114626  -616.114626  -615.868635  -615.414633
 8.3  -616.114625  -616.114625  -615.867843  -615.413770
 8.4  -616.114625  -616.114625  -615.867067  -615.412933
 8.5  -616.114624  -616.114624  -615.866312  -615.412115
 8.6  -616.114623  -616.114623  -615.865573  -615.411318
 8.7  -616.114622  -616.114622  -615.864852  -615.410541
 8.8  -616.114621  -616.114621  -615.864147  -615.409783
 8.9  -616.114621  -616.114621  -615.863460  -615.409042
 9.0  -616.114620  -616.114620  -615.862785  -615.408321
 9.1  -616.114620  -616.114620  -615.862127  -615.407616
 9.2  -616.114619  -616.114619  -615.861485  -615.406927
 9.3  -616.114619  -616.114619  -615.860854  -615.406255
 9.4  -616.114618  -616.114618  -615.860239  -615.405597
 9.5  -616.114618  -616.114618  -615.859635  -615.404955
 9.6  -616.114617  -616.114617  -615.859046  -615.404325
 9.7  -616.114617  -616.114617  -615.858466  -615.403713
 9.8  -616.114616  -616.114616  -615.857902  -615.403110
 9.9  -616.114616  -616.114616  -615.857346  -615.402523
10.0  -616.114616  -616.114616  -615.856804  -615.401946
