 0.50 -188.95728 -188.94722 -188.74076
 0.60 -193.51717 -193.50115 -193.19377
 0.70 -195.97024 -195.93241 -195.53826
 0.80 -197.29259 -197.23204 -196.78406
 0.90 -198.00040 -197.91882 -197.43872
 1.00 -198.37558 -198.27635 -197.78401
 1.10 -198.57102 -198.46322 -197.98392
 1.20 -198.66979 -198.56613 -198.11641
 1.22 -198.68235 -198.58098 -198.13735
 1.24 -198.69316 -198.59447 -198.15666
 1.26 -198.70241 -198.60677 -198.17440
 1.28 -198.71031 -198.61801 -198.19063
 1.30 -198.71700 -198.62830 -198.20541
 1.32 -198.72265 -198.63773 -198.21881
 1.34 -198.72737 -198.64639 -198.23090
 1.36 -198.73129 -198.65433 -198.24173
 1.38 -198.73450 -198.66160 -198.25139
 1.40 -198.73711 -198.66826 -198.25994
 1.42 -198.73917 -198.67434 -198.26745
 1.44 -198.74078 -198.67988 -198.27399
 1.46 -198.74198 -198.68492 -198.27963
 1.48 -198.74284 -198.68948 -198.28444
 1.50 -198.74341 -198.69361 -198.28847
 1.52 -198.74372 -198.69732 -198.29180
 1.54 -198.74383 -198.70066 -198.29447
 1.56 -198.74375 -198.70365 -198.29655
 1.58 -198.74353 -198.70631 -198.29809
 1.60 -198.74319 -198.70867 -198.29913
 1.62 -198.74274 -198.71077 -198.29972
 1.64 -198.74222 -198.71261 -198.29991
 1.66 -198.74163 -198.71424 -198.29973
 1.68 -198.74099 -198.71566 -198.29923
 1.70 -198.74032 -198.71689 -198.29843
 1.72 -198.73962 -198.71797 -198.29738
 1.74 -198.73891 -198.71889 -198.29609
 1.76 -198.73819 -198.71969 -198.29459
 1.78 -198.73747 -198.72037 -198.29291
 1.80 -198.73675 -198.72095 -198.29108
 1.82 -198.73605 -198.72144 -198.28910
 1.84 -198.73535 -198.72186 -198.28700
 1.86 -198.73467 -198.72220 -198.28481
 1.88 -198.73401 -198.72248 -198.28252
 1.90 -198.73337 -198.72271 -198.28016
 1.92 -198.73275 -198.72290 -198.27774
 1.94 -198.73215 -198.72305 -198.27527
 1.96 -198.73158 -198.72316 -198.27275
